Execution Date	 Executed By	 INPUT_DIRECTORY	 INPUT_FOLDER	 OUTPUT_DIRECTORY	 OUTPUT_FOLDER	 data reads	 preprocessing	 endpoints	 tables	 init_image	 DROP_total	  iteration 1	  iteration 2	  iteration 3	  iteration 4	  iteration 5	  iteration 6	  iteration 7	  iteration 8	  iteration 9	  iteration 10	  iteration 11	  iteration 12	  iteration 13	  iteration 14	  iteration 15	 reconstruction	 program	 THREADS_PER_BLOCK	 ENDPOINTS_TX_MODE	 ENDPOINTS_ALG	 MAX_ENDPOINTS_HISTORIES	 ENDPOINTS_PER_BLOCK	 ENDPOINTS_PER_THREAD	 DROP_TX_MODE	 MLP_ALGORITHM	 HISTORIES_PER_BLOCK	 HISTORIES_PER_THREAD	 VOXELS_PER_THREAD	 LAMBDA	 DROP_BLOCK_SIZE	 TRIG_TABLE_MIN	 TRIG_TABLE_MAX	 TRIG_TABLE_STEP	 DEPTH_TABLE_RANGE	 DEPTH_TABLE_STEP	 POLY_TABLE_RANGE	 POLY_TABLE_STEP	 
7022015	 Blake Schultze	 //home//share//	 CTP404//input_CTP404_4M	 //home//share//	 Output//CTP404//input_CTP404_4M	0	0	0	0	0	0	0.042	0.043	0.044	0.043	0.043	0.043	0.044	0.044	0.043	0.043	 	 	 	 	 	0	0	1024	 PARTIAL_TX_PREALLOCATED	 NO_BOOL	10240000	320	1	 FULL_TX	 TABULATED	320	1	1	0.01	3200	-6.283185	12.566371	0.000017	20	0.00005	20	0.00005	 
7022015	 Blake Schultze	 //home//share//	 CTP404//input_CTP404_4M	 //home//share//	 Output//CTP404//input_CTP404_4M	0	0	0	0	0	0	0.042	0.043	0.044	0.043	0.043	0.043	0.044	0.044	0.043	0.043	 	 	 	 	 	0	0	1024	 PARTIAL_TX_PREALLOCATED	 NO_BOOL	10240000	320	1	 FULL_TX	 TABULATED	320	1	1	0.01	3200	-6.283185	12.566371	0.000017	20	0.00005	20	0.00005	 
7022015	 Blake Schultze	 //home//share//	 CTP404//input_CTP404_4M	 //home//share//	 Output//CTP404//input_CTP404_4M	0	0	0	0	0	0	0.042	0.043	0.044	0.043	0.043	0.043	0.044	0.044	0.043	0.043	 	 	 	 	 	0	0	1024	 PARTIAL_TX_PREALLOCATED	 NO_BOOL	10240000	320	1	 FULL_TX	 TABULATED	320	1	1	0.01	3200	-6.283185	12.566371	0.000017	20	0.00005	20	0.00005	 
7022015	 Blake Schultze	 //home//share//	 CTP404//input_CTP404_4M	 //home//share//	 Output//CTP404//input_CTP404_4M	0	0	0	0	0	0	0.042	0.043	0.044	0.043	0.043	0.043	0.044	0.044	0.043	0.043	 	 	 	 	 	0	0	1024	 PARTIAL_TX_PREALLOCATED	 NO_BOOL	10240000	320	1	 FULL_TX	 TABULATED	320	1	1	0.01	3200	-6.283185	12.566371	0.000017	20	0.00005	20	0.00005	 
7052015	 Paniz Karbasi	 //home//karbasi//Public//	 input_CTP404_4M	 //home//karbasi//Public//	 B3200L0.0009//07052015	30.81	41.29	38.11	0.17	0.01	437.59	36.37	36.37	36.35	36.51	36.36	36.51	36.52	36.84	36.35	36.36	36.37	36.36	 	 	 	475.71	517.03	1024	 PARTIAL_TX_PREALLOCATED	 BOOL	64000000	320	1	 FULL_TX	 TABULATED	320	1	1	0.0009	3200	-6.283185	12.566371	0.000017	20	0.00005	20	0.00005	 
7052015	 Paniz Karbasi	 //home//karbasi//Public//	 input_CTP404_4M	 //home//karbasi//Public//	 B3200L0.001//07052015	30.81	41.14	38.4	0.17	0	436.65	36.37	36.36	36.36	36.33	36.36	36.35	36.36	36.38	36.4	36.36	36.36	36.35	 	 	 	475.05	516.23	1024	 PARTIAL_TX_PREALLOCATED	 BOOL	64000000	320	1	 FULL_TX	 TABULATED	320	1	1	0.001	3200	-6.283185	12.566371	0.000017	20	0.00005	20	0.00005	 
7052015	 Paniz Karbasi	 //home//karbasi//Public//	 input_CTP404_4M	 //home//karbasi//Public//	 B3200L0.0011//07052015	30.64	41.24	38.04	0.16	0	436.87	36.36	36.38	36.35	36.35	36.37	36.36	36.35	36.41	36.45	36.44	36.37	36.38	 	 	 	474.91	516.18	1024	 PARTIAL_TX_PREALLOCATED	 BOOL	64000000	320	1	 FULL_TX	 TABULATED	320	1	1	0.0011	3200	-6.283185	12.566371	0.000017	20	0.00005	20	0.00005	 
7052015	 Paniz Karbasi	 //home//karbasi//Public//	 input_CTP404_4M	 //home//karbasi//Public//	 B32000L0.009//07052015	30.71	41.43	38.29	0.16	0	250.18	20.88	20.82	20.76	20.84	20.84	20.88	20.81	20.79	20.81	20.85	20.79	20.81	 	 	 	288.47	329.94	1024	 PARTIAL_TX_PREALLOCATED	 BOOL	64000000	320	1	 FULL_TX	 TABULATED	320	1	1	0.009	32000	-6.283185	12.566371	0.000017	20	0.00005	20	0.00005	 
7052015	 Paniz Karbasi	 //home//karbasi//Public//	 input_CTP404_4M	 //home//karbasi//Public//	 B32000L0.01//07052015	30.73	41.09	38.02	0.17	0	249.75	20.78	20.79	20.71	20.73	20.71	20.77	20.82	20.78	20.88	20.85	20.85	20.76	 	 	 	287.77	328.88	1024	 PARTIAL_TX_PREALLOCATED	 BOOL	64000000	320	1	 FULL_TX	 TABULATED	320	1	1	0.01	32000	-6.283185	12.566371	0.000017	20	0.00005	20	0.00005	 
7052015	 Paniz Karbasi	 //home//karbasi//Public//	 input_CTP404_4M	 //home//karbasi//Public//	 B32000L0.011//07052015	30.6	41.37	37.9	0.16	0	249.47	20.74	20.76	20.78	20.76	20.77	20.75	20.75	20.76	20.73	20.85	20.75	20.77	 	 	 	287.37	328.77	1024	 PARTIAL_TX_PREALLOCATED	 BOOL	64000000	320	1	 FULL_TX	 TABULATED	320	1	1	0.011	32000	-6.283185	12.566371	0.000017	20	0.00005	20	0.00005	 
7052015	 Paniz Karbasi	 //home//karbasi//Public//	 input_CTP404_4M	 //home//karbasi//Public//	 B320000L0.045//07052015	30.77	41.18	38.06	0.17	0	229.64	19.29	19.12	19.09	19.07	19.08	19.06	19.31	19.01	19.03	19.19	19	19.08	 	 	 	267.7	308.9	1024	 PARTIAL_TX_PREALLOCATED	 BOOL	64000000	320	1	 FULL_TX	 TABULATED	320	1	1	0.045	320000	-6.283185	12.566371	0.000017	20	0.00005	20	0.00005	 
